siteNumber,longtitude,latitude
2788,120.6341019,27.78210068
2789,120.6182022,27.75049973
2793,120.4742966,27.80979919
2795,120.6029968,28.02440071
2796,120.7589035,27.83139992
2799,120.5719986,27.6385994
2812,120.6072006,27.43580055
2821,120.6424026,27.76989937
2831,120.4626007,27.57679939
2840,120.733902,27.97739983
2844,120.5571976,27.58919907
2851,121.049202,28.17210007
2852,120.9937973,28.43289948
2854,120.5173035,27.56760025
2863,120.6169968,27.7628994
2877,120.8367004,27.93199921
2881,120.6146011,27.98579979
2889,120.8115997,28.0223999
2891,120.4558029,27.96439934
2899,120.4934006,28.03739929
2900,120.6638031,27.9769001
2904,120.5149002,28.09700012
2906,120.3113022,27.49090004
2911,120.5544968,27.84300041
2913,120.5558014,27.59679985
2925,120.7639999,28.0048008
2929,120.6808014,27.99270058
2934,120.4411011,27.77869987
2937,120.629097,27.78120041
2939,120.6435013,28.01059914
2942,120.6607971,28.01029968
2952,121.0278015,28.20809937
2972,120.7192001,28.03960037
2976,120.6535034,28.01320076
2978,120.6416016,28.02370071
2979,120.4151001,27.58709908
2980,120.4151001,27.58720016
2984,120.6713028,28.00499916
2987,120.5543976,27.79290009
2988,120.6386032,27.89690018
2991,120.669899,27.94549942
2997,120.7044983,28.00169945
3004,120.6048965,27.97629929
3005,120.2304993,27.78230095
3009,120.5521011,27.57920074
3019,120.6865997,27.82819939
3021,120.8360977,27.90979958
3024,121.1547012,27.84659958
3025,120.8815994,28.02190018
3026,120.5382996,27.98559952
3028,120.6235962,27.98940086
3029,120.3705978,27.40769958
3035,120.6675034,28.01000023
3039,120.6903,28.00219917
3042,120.4686966,27.52619934
3047,121.1811981,28.39319992
3051,120.5677032,28.14850044
3063,120.6368027,28.00760078
3065,120.6733017,28.02280045
3068,120.6436005,28.01099968
3071,120.8209,27.87829971
3085,120.7652969,28.02779961
3086,121.0449982,28.19549942
3091,120.6284027,27.77709961
3104,120.6500015,27.78140068
3108,120.5449982,27.98889923
3111,120.6019974,28.06850052
3113,120.6451035,27.87680054
3120,120.7026978,28.00740051
3123,120.7026978,28.00790024
3125,120.8725967,28.05970001
3138,120.7953033,27.96459961
3144,120.7027969,27.92410088
3156,120.5992966,28.0279007
3159,120.6528015,27.96529961
3161,120.6600037,28.02050018
3193,120.7360001,27.93260002
3200,120.7600021,28.52090073
3209,120.6019974,28.04929924
3210,120.5460968,27.60040092
